coopid,year,total_catch_lobsters,total_value_lobsters,total_hhat_lobster,total_xhat_lobster,ic_price_lobsters,m_lobster,change_m_lobster,change_xhat_lobster
13,2000,25275,2427897,8263,28276902,196,179138,-338542,-27337560
13,2001,29513,2912724,7302,25908832,201,165287,-13850,2368070
13,2002,46725,4625775,9556,30417782,178,185970,20682,-4508950
13,2003,10808,1130946,8845,24410212,178,173346,-12623,6007570
13,2004,21950,3300383,10416,27470838,229,257764,84418,-3060626
13,2005,22688,4289323,12539,38875684,272,362073,104309,-11404846
13,2006,6083,1503290,3794,11522094,367,168791,-193282,27353590
13,2007,9619,2900950,7180,16026021,437,353229,184438,-4503927
13,2008,7433,2893660,8117,2567564,522,470654,117425,13458457
13,2009,6902,1871255,6084,2540481,313,218626,-252028,27083
13,2010,22352,7798913,15330,6445170,396,629834,411208,-3904689
13,2011,5887,2037000,5914,2659937,428,291424,-338410,3785233
13,2012,226,77788,238,159035,406,17659,-273765,2500903
13,2013,33248,11965160,23321,5257664,406,940996,923337,-5098629
13,2014,29933,8364230,10856,3346352,282,330020,-610976,1911312
13,2015,30388,6191410,18978,4797245,215,413990,83970,-1450894
13,2016,14597,3936895,10893,3431330,262,307371,-106619,1365916
14,2000,208760,10428785,299564,28276902,104,2465515,2158144,-24845572
14,2001,145855,7285680,277466,21421682,97,2158195,-307320,6855220
14,2002,179844,7913136,222960,30328136,79,1436100,-722096,-8906454
14,2003,165363,8658269,117787,11910759,93,936207,-499893,18417376
14,2004,141012,9738261,142844,13094469,112,1345356,409149,-1183710
14,2005,143393,9710878,105391,12338742,109,989935,-355422,755727
14,2006,168453,12694339,146920,4744014,111,1371841,381906,7594728
14,2007,143503,13825764,202283,4606742,136,2257685,885844,137272
14,2008,162889,19340076,71455,1274902,165,1051930,-1205755,3331840
14,2009,171130,20366356,85644,1372469,162,1224536,172606,-97566
14,2010,155791,21210728,132716,2358806,169,1895981,671445,-986338
14,2011,219426,36961020,84495,1649465,200,1487178,-408803,709341
14,2012,178740,28828282,60508,1046703,203,1113128,-374050,602763
14,2013,167031,35720112,146212,2711071,256,3149425,2036297,-1664368
14,2014,115453,27794612,104176,1563392,266,2399876,-749549,1147679
14,2015,67838,16819928,85403,1586251,267,2010850,-389025,-22860
14,2016,67353,18073244,94732,1420743,278,2295050,284200,165508
17,2000,15050,3528930,13948,24418220,481,703099,-1591951,-22997476
17,2001,11853,2838675,16430,25865106,459,777185,74086,-1446886
17,2002,10029,2399475,20044,30043180,438,886592,109407,-4178074
17,2003,11922,3058220,21418,26073762,451,969696,83105,3969418
17,2004,16696,4616650,25616,27470838,460,1160237,190541,-1397076
17,2005,11973,3484370,30128,38875684,458,1336702,176464,-11404846
17,2006,17308,5109855,16351,7321883,450,758848,-577854,31553802
17,2007,13238,4717348,13991,6987647,541,793038,34190,334236
17,2008,8835,3453090,9847,2345512,539,577314,-215723,4642134
17,2009,6493,2181440,7921,1793363,452,398988,-178326,552149
17,2010,13524,3691890,21506,3603188,365,786967,387979,-1809825
17,2011,23538,5233105,6685,900388,291,220621,-566346,2702800
17,2012,25237,5064550,6952,1270925,238,187250,-33371,-370538
17,2013,28357,5984715,28249,5154042,238,654719,467469,-3883116
17,2014,29704,6719490,16518,2548046,248,421215,-233505,2605995
17,2015,25194,7577780,26890,4619275,318,839571,418356,-2071228
17,2016,30578,10520660,23288,3431330,356,825580,-13991,1187945
18,2000,51395,4822815,24208,26721780,186,446747,-378833,-23290450
18,2001,43749,4306980,23080,28267940,185,425233,-21514,-1546160
18,2002,55726,5516874,28693,31664620,179,499030,73797,-3396680
18,2003,22208,2321094,27155,26073762,178,473469,-25561,5590858
18,2004,49710,6038149,29680,24440288,192,552611,79142,1633474
18,2005,53558,6685382,38707,35574852,196,719566,166955,-11134564
18,2006,34241,5044575,12462,11529199,226,298370,-421196,24045652
18,2007,39931,7539639,20483,15145280,269,554451,256082,-3616081
18,2008,15012,3133325,16468,2379869,286,485306,-69145,12765411
18,2009,22357,3852560,20763,2379764,235,491734,6427,105
18,2010,61266,11046999,44733,6041931,226,942293,450559,-3662167
18,2011,36224,6271185,34237,3146280,216,706793,-235500,2895651
18,2012,3918,681740,13963,1371731,206,301453,-405340,1774549
18,2013,80280,14606614,51927,4865203,215,1026475,725022,-3493472
18,2014,43450,8027665,34375,3408410,201,660148,-366327,1456794
18,2015,59528,12327340,44068,4619275,220,905752,245604,-1210865
18,2016,17727,7825695,37385,3431330,379,1345970,440219,1187945
22,2000,31643,2976441,12864,25973342,187,254752,-1091218,-22542012
22,2001,28406,2803913,14639,27003806,186,283639,28886,-1030464
22,2002,41909,4148991,16191,31664620,179,298218,14580,-4660814
